Time,"T° 440,480",A8,B8,C8,D8,E8,F8,G8,H8,,Time,"T° 440,480",A8,B8,C8,D8,E8,F8,G8,H8,,Time,0uM,25uM,50uM,100uM,0um,25uM*,50uM*,100uM*
0:00:00,25.3,270,821,2605,7351,246,599,1075,2610,,0:00:00,25.3,270,551,2335,7081,246,353,829,2364,,0:00:00,0,0,0,0,0,0,0,0
0:15:00,25.3,269,786,2459,7339,251,600,1256,3363,,0:15:00,25.3,269,517,2190,7070,251,349,1005,3112,,0:15:00,-1,-34,-145,-11,5,-4,176,748
0:30:00,25.3,270,759,2409,7455,253,608,1479,3935,,0:30:00,25.3,270,489,2139,7185,253,355,1226,3682,,0:30:00,0,-62,-196,104,7,2,397,1318
0:45:00,25.3,270,747,2406,7543,249,655,1646,4355,,0:45:00,25.3,270,477,2136,7273,249,406,1397,4106,,0:45:00,0,-74,-199,192,3,53,568,1742
1:00:00,25.2,267,738,2385,7647,255,670,1782,4637,,1:00:00,25.2,267,471,2118,7380,255,415,1527,4382,,1:00:00,-3,-80,-217,299,9,62,698,2018
1:15:00,25.2,287,738,2377,7669,261,690,1873,4834,,1:15:00,25.2,287,451,2090,7382,261,429,1612,4573,,1:15:00,17,-100,-245,301,15,76,783,2209
1:30:00,25.3,274,734,2398,7833,260,709,1922,5020,,1:30:00,25.3,274,460,2124,7559,260,449,1662,4760,,1:30:00,4,-91,-211,478,14,96,833,2396
1:45:00,25.2,270,738,2402,7924,248,750,1985,5149,,1:45:00,25.2,270,468,2132,7654,248,502,1737,4901,,1:45:00,0,-83,-203,573,2,149,908,2537
2:00:00,25.2,276,720,2383,8027,258,747,2044,5274,,2:00:00,25.2,276,444,2107,7751,258,489,1786,5016,,2:00:00,6,-107,-228,670,12,136,957,2652
2:15:00,25.1,277,724,2384,8159,241,781,2050,5385,,2:15:00,25.1,277,447,2107,7882,241,540,1809,5144,,2:15:00,7,-104,-228,801,-5,187,980,2780
2:30:00,25.1,272,734,2400,8247,247,787,2083,5478,,2:30:00,25.1,272,462,2128,7975,247,540,1836,5231,,2:30:00,2,-89,-207,894,1,187,1007,2867
